,Country,Life satisfaction,Homicide rate,Personal earnings,GDP
0,Australia,7.35,1.0999999999999999,49126.0,50961.865
1,Austria,7.225,0.4666666666666666,50349.0,43724.031
2,Belgium,7.000000000000001,1.0333333333333334,49675.0,40106.632
3,Brazil,6.400000000000001,27.0,47622.0,8669.998
4,Canada,7.425000000000001,1.2666666666666666,25879.0,43331.961
5,Chile,6.4799999999999995,4.2,25372.0,13340.905
6,Colombia,6.266666666666667,25.0,51466.0,6083.51
7,Czech Republic,6.7,0.5,24336.0,17256.918
8,Denmark,7.65,0.6,42964.0,52114.165
9,Estonia,5.779999999999999,3.1666666666666665,43755.0,17288.083
10,Finland,7.659999999999999,1.2666666666666668,47585.0,41973.988
11,France,6.540000000000001,0.46666666666666673,26064.0,37675.006
12,Germany,7.1,0.5,22576.0,40996.511
13,Greece,5.340000000000001,0.8333333333333334,61787.0,18064.288
14,Hungary,5.68,1.0,47653.0,12239.894
15,Iceland,7.58,0.5,35067.0,50854.583
16,Ireland,7.05,0.6666666666666666,36658.0,51350.744
17,Israel,7.225,1.8333333333333333,40863.0,35343.336
18,Italy,6.14,0.6,35191.0,29866.581
19,Japan,5.8999999999999995,0.20000000000000004,23683.0,32485.545
20,Korea,5.866666666666667,1.0,24287.0,27195.197
21,Latvia,5.94,4.933333333333334,63062.0,13618.569
22,Lithuania,5.9799999999999995,3.433333333333333,15314.0,14210.28
23,Luxembourg,6.8999999999999995,0.5666666666666667,52877.0,101994.093
24,Mexico,6.466666666666666,18.633333333333333,40043.0,9009.28
25,Netherlands,7.5,0.6,51212.0,43603.115
26,New Zealand,7.3,1.3,43241.0,37044.891
27,Norway,7.619999999999999,0.39999999999999997,27046.0,74822.106
29,Poland,6.1000000000000005,0.7333333333333334,24328.0,12495.334
30,Portugal,5.48,1.0,34933.0,19121.592
31,Russia,5.88,9.933333333333334,38507.0,9054.914
32,Slovak Republic,6.425000000000001,0.7999999999999999,42393.0,15991.736
33,Slovenia,5.933333333333334,0.6,62283.0,20732.482
34,South Africa,4.7,14.0,43732.0,5694.572
35,Spain,6.225,0.6,60558.0,25864.721
